query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
refund,/claim-tax-refund,3 perfect,3,,"3,432","1,401",41%,62.57%,448
vat notice,,,,,"2,405",783,33%,62.58%,617
b7,,,,,"1,170",6,1%,62.58%,691
log on,/sign-in,3 perfect,3,,"1,187",28,2%,62.59%,1322
my application,/sign-in-visa,3 perfect,3,,"1,180",40,3%,62.60%,225
id,,,,,"2,257",746,33%,62.61%,1449
appointment,,,,,"1,990",592,30%,62.62%,293
ask hmrc online,/contact-hmrc,3 perfect,3,,"4,568","2,244",49%,62.64%,921
poa,/power-of-attorney,3 perfect,3,,"2,089",690,33%,62.64%,1401
publications,/search/policy-papers-and-consultations,2 good,2,,"1,543",349,23%,62.64%,824
publications,/search/research-and-statistics,2 good,2,,"1,543",349,23%,62.64%,824
publications,/search/guidance-and-regulation,3 perfect,3,,"1,543",349,23%,62.64%,824
tls,,,,,"1,020",32,3%,62.65%,1441
gp,https://www.nhs.uk/service-search,3 perfect,3,,"1,163",135,12%,62.66%,1445
nhs,https://www.nhs.uk/,3 perfect,3,,"3,721","1,749",47%,62.66%,585
coronavirus,/coronavirus,3 perfect,3,,"1,627",446,27%,62.67%,785
vat manual,/government/collections/vat-manuals,3 perfect,3,,"1,018",69,7%,62.67%,617
ask hmrc,/contact-hmrc,3 perfect,3,,"2,859","1,235",43%,62.68%,921
p50,/government/publications/income-tax-claiming-tax-back-when-you-have-stopped-working-p50,3 perfect,3,,"1,121",147,13%,62.68%,152
ni 38,/government/publications/social-security-abroad-ni38,3 perfect,3,,888,9,1%,62.69%,467
ni 38,/government/publications/social-security-abroad-ni38/guidance-on-social-security-abroad-ni38,3 perfect,3,,888,9,1%,62.69%,467
sign out,,,,,"1,311",278,21%,62.69%,934
hercules,/log-in-register-hmrc-online-services,3 perfect,3,,882,19,2%,62.69%,1255
a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3,,990,89,9%,62.69%,241
cds,/government/collections/customs-declaration-service,3 perfect,3,,"3,301","1,550",47%,62.70%,53
logbook,/vehicle-log-book,3 perfect,3,,995,98,10%,62.70%,1259
logbook,/change-address-v5c,3 perfect,3,,995,98,10%,62.70%,1259
emmisions,,,,,814,6,1%,62.71%,1342
apply,,,,,"3,088","1,445",47%,62.71%,903
application form,,,,,890,80,9%,62.73%,204
payment,,,,,"1,481",454,31%,62.73%,456
cos,/uk-visa-sponsorship-employers/certificates-of-sponsorship,3 perfect,3,,"1,979",769,39%,62.73%,1092
solar panels,,,,,"1,641",558,34%,62.73%,588
create account,,,,,"1,465",458,31%,62.73%,919
email address,,,,,"1,127",254,23%,62.74%,733
jcvi,,,,,"1,930",763,40%,62.74%,1348
self certification,/taking-sick-leave,3 perfect,3,,"1,733",641,37%,62.74%,192
visa sponsorship,/uk-visa-sponsorship-employers,3 perfect,3,,"2,787","1,310",47%,62.75%,705
pâté,/log-in-register-hmrc-online-services,3 perfect,3,,694,5,1%,62.75%,1283
claim,,,,,984,199,20%,62.76%,367
track visa application,,,,,"1,525",541,35%,62.76%,702
n138,/government/publications/social-security-abroad-ni38,3 perfect,3,,"1,067",253,24%,62.76%,1161
skills boot camp,/guidance/find-a-skills-bootcamp,3 perfect,3,,761,63,8%,62.76%,664
contact numbers,,,,,868,131,15%,62.76%,868
headlight,,,,,683,18,3%,62.76%,559
brexit,/government/collections/brexit-guidance,3 perfect,3,,"1,489",526,35%,62.76%,543
pay,,,,,"2,103",914,43%,62.77%,696
dentist,https://www.nhs.uk/service-search,3 perfect,3,,805,102,13%,62.77%,111
track visa,,,,,"1,568",612,39%,62.79%,702
log,,,,,783,119,15%,62.79%,735
solar,,,,,841,161,19%,62.79%,588
uan,,,,,763,115,15%,62.79%,1113
change bank details,/vehicle-tax-direct-debit,2 good,2,,"1,260",442,35%,62.80%,383
change bank details,/contact-pension-service,2 good,2,,"1,260",442,35%,62.80%,383
northern ireland,,,,,"1,071",323,30%,62.80%,1204
health,,,,,"1,337",491,37%,62.80%,184
passport validity,,,,,978,270,28%,62.80%,802
red list,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,785,149,19%,62.80%,657
care homes,,,,,836,184,22%,62.80%,187
careers allowance,/carers-allowance,3 perfect,3,,582,27,5%,62.81%,23
report,,,,,"1,138",378,33%,62.81%,835
bro,/biometric-residence-permits,3 perfect,3,,542,3,1%,62.81%,1092
pays,/log-in-register-hmrc-online-services,2 good,2,,705,106,15%,62.81%,438
self certificate,/taking-sick-leave,3 perfect,3,,"1,084",348,32%,62.81%,192
address,,,,,"2,474","1,225",50%,62.81%,848
car insurance,,,,,"2,432","1,201",49%,62.81%,471
tier 5,/browse/visas-immigration/work-visas,2 good,2,,878,222,25%,62.81%,958
payments,,,,,"1,354",524,39%,62.81%,456
mental health,,,,,"1,442",580,40%,62.81%,185
education,/browse/education,2 good,2,,"2,090",989,47%,62.81%,30
message,,,,,854,212,25%,62.81%,846
uk,,,,,792,173,22%,62.81%,910
home,,,,,749,147,20%,62.81%,160
shortage occupation employers,,,,,521,4,1%,62.81%,209
quad,,,,,577,40,7%,62.82%,1360
dependent,/uk-family-visa,3 perfect,3,,875,230,26%,62.82%,76
ute,/find-utr-number,2 good,2,,522,9,2%,62.82%,1297
caregiver,,,,,547,27,5%,62.82%,105
care home,,,,,936,273,29%,62.82%,187
id card,,,,,615,73,12%,62.82%,1453
telephone,,,,,657,101,15%,62.82%,868
track my application,,,,,"1,350",538,40%,62.82%,603
pension finder,/find-pension-contact-details,3 perfect,3,,"1,178",435,37%,62.82%,403
scotland,,,,,670,117,17%,62.83%,1013
ni record,/check-national-insurance-record,3 perfect,3,,"1,292",509,39%,62.83%,465
portal,,,,,809,205,25%,62.83%,758
a1 form,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3,,879,250,28%,62.83%,240
a rated sponsership,/uk-visa-sponsorship-employers,3 perfect,3,,571,56,10%,62.83%,254
nic,/national-insurance,2 good,2,,"1,132",414,37%,62.83%,620
ltd,,,,,"1,024",349,34%,62.83%,56
contact vi,/contact-ukvi-inside-outside-uk,3 perfect,3,,490,13,3%,62.83%,1418
ielts,/guidance/prove-your-english-language-abilities-with-a-secure-english-language-test-selt,3 perfect,3,,877,258,29%,62.83%,665
guidance,,,,,807,217,27%,62.83%,837
section 21,/evicting-tenants/section-21-and-section-8-notices,3 perfect,3,,"1,175",451,38%,62.83%,967
working from home allowance,/tax-relief-for-employees/working-at-home,3 perfect,3,,575,73,13%,62.83%,64
eurovision,,,,,"1,309",536,41%,62.84%,210
page,/log-in-register-hmrc-online-services,2 good,2,,550,59,11%,62.84%,718
"""accessible document policy""",,,,,788,209,27%,62.84%,284
soc,,,,,734,176,24%,62.84%,1221
gov,,,,,549,61,11%,62.84%,911
employment,,,,,949,316,33%,62.84%,263
getaway,/log-in-register-hmrc-online-services,2 good,2,,462,12,3%,62.84%,1365
ni payments,/national-insurance,2 good,2,,654,135,21%,62.84%,465
form,,,,,685,155,23%,62.84%,205
consular fees,/government/collections/consular-fees,3 perfect,3,,782,217,28%,62.84%,451
tax office,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,2 good,2,,571,87,15%,62.84%,18
tax office,/contact-hmrc,2 good,2,,571,87,15%,62.84%,18
eid,,,,,951,332,35%,62.85%,1398
salary,,,,,714,183,26%,62.85%,405
ctf,/child-trust-funds,3 perfect,3,,"1,751",838,48%,62.85%,357
c,,,,,447,17,4%,62.85%,1488
change password,,,,,769,220,29%,62.85%,805
track application,,,,,"1,166",472,40%,62.85%,603
daf,/government/publications/early-years-funding-2023-to-2024/early-years-entitlements-local-authority-funding-operational-guide-2023-to-2024,3 perfect,3,,453,23,5%,62.85%,334
b6,,,,,974,352,36%,62.85%,1053
visa sponsorship jobs,,,,,"1,324",575,43%,62.85%,707
tourist,,,,,725,201,28%,62.85%,163
qr code,,,,,"1,513",698,46%,62.85%,825
my details,,,,,432,18,4%,62.85%,738
identify verification,,,,,442,25,6%,62.86%,226
update employment status,/repaying-your-student-loan/update-your-employment-details,3 perfect,3,,478,48,10%,62.86%,278
company check,/get-information-about-a-company,3 perfect,3,,684,178,26%,62.86%,762
col,/cost-of-living,3 perfect,3,,410,7,2%,62.86%,1433
digital id,,,,,447,32,7%,62.86%,1453
number,,,,,873,301,34%,62.86%,862
dependant,/uk-family-visa,3 perfect,3,,820,269,33%,62.86%,76
self certification form,/taking-sick-leave,3 perfect,3,,706,198,28%,62.86%,194
etias,,,,,551,101,18%,62.86%,545
care assistant,,,,,962,360,37%,62.86%,191
reference number,,,,,609,138,23%,62.86%,862
emergency,,,,,"1,004",387,39%,62.86%,511
congestion charge,,,,,"1,019",397,39%,62.86%,328
electrician,,,,,479,57,12%,62.86%,606
check list,,,,,542,98,18%,62.86%,766
nhs pension,,,,,"1,653",798,48%,62.86%,586
opening hours,,,,,515,82,16%,62.86%,92
hs code,/guidance/using-the-harmonised-system-and-product-specific-rules-for-trade-between-the-uk-and-eu,3 perfect,3,,524,88,17%,62.86%,726
self cert,/taking-sick-leave,3 perfect,3,,730,218,30%,62.86%,192
pregnancy,,,,,"1,267",558,44%,62.86%,116
contact telephone number,,,,,475,60,13%,62.86%,868
caters allowance,/carers-allowance,3 perfect,3,,381,1,0%,62.86%,402
uae,,,,,504,79,16%,62.86%,1003
adrian bell,,,,,380,1,0%,62.86%,1253
autism,,,,,764,244,32%,62.86%,126
правительство российской федерации,/world/russia/news.ru,2 good,2,,406,19,5%,62.86%,1253
sort code,,,,,465,58,12%,62.87%,725
northamptonshire,,,,,496,78,16%,62.87%,1205
house,,,,,554,117,21%,62.87%,161
language,,,,,566,125,22%,62.87%,41
statement,,,,,600,147,25%,62.87%,287
red list countries,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,445,50,11%,62.87%,657
check insurance,,,,,666,190,29%,62.87%,764
safeguarding,,,,,"1,273",573,45%,62.87%,266
landlord,,,,,"1,183",517,44%,62.87%,412
post study work visa,/graduate-visa,3 perfect,3,,719,226,31%,62.87%,832
access code,,,,,689,208,30%,62.87%,907
veterans id card,,,,,474,74,16%,62.87%,1453
lap,/power-of-attorney,2 good,2,,359,2,1%,62.87%,990
careers,,,,,"1,432",678,47%,62.87%,23
tin,,,,,435,50,11%,62.87%,1298
p,,,,,375,13,3%,62.87%,1467
s,,,,,371,12,3%,62.87%,1469
eu ss,/settled-status-eu-citizens-families,3 perfect,3,,427,49,11%,62.87%,771
transport,,,,,906,351,39%,62.87%,476
track my visa application,,,,,678,208,31%,62.87%,702
caz,/clean-air-zones,3 perfect,3,,441,59,13%,62.87%,1387
deeds,,,,,774,269,35%,62.88%,1027
policy,,,,,626,176,28%,62.88%,273
police,,,,,756,259,34%,62.88%,314
council tax bill,/pay-council-tax,3 perfect,3,,568,141,25%,62.88%,17
headlights,,,,,396,33,8%,62.88%,559
diabetes,,,,,936,374,40%,62.88%,122
documents,,,,,692,221,32%,62.88%,284
gate way,/log-in-register-hmrc-online-services,2 good,2,,353,11,3%,62.88%,932
nicola bulley,,,,,345,7,2%,62.88%,1252
ireland,,,,,664,208,31%,62.88%,1013
ev,,,,,414,52,13%,62.88%,1403
children,,,,,721,246,34%,62.88%,103
healthcare,,,,,844,325,39%,62.88%,183
care giver,,,,,382,34,9%,62.88%,188
15 minute cities,,,,,415,55,13%,62.88%,972
food,,,,,819,310,38%,62.88%,640
cf38,,,,,344,11,3%,62.88%,1409
tier 5 visa,,,,,501,110,22%,62.88%,958
visa extension,,,,,663,213,32%,62.88%,709
check,,,,,887,355,40%,62.88%,763
section 88,,,,,436,71,16%,62.88%,1382
boot camp,/guidance/find-a-skills-bootcamp,3 perfect,3,,380,36,9%,62.88%,664
j30,,,,,325,2,1%,62.88%,537
is my car insured,,,,,500,113,23%,62.88%,471
business grants,,,,,657,212,32%,62.88%,382
cancer,,,,,510,120,24%,62.88%,121
road test,,,,,"1,236",578,47%,62.89%,490
certificate,,,,,645,206,32%,62.89%,224
white goods,,,,,448,82,18%,62.89%,660
hmrs,/log-in-register-hmrc-online-services,3 perfect,3,,333,10,3%,62.89%,1325
russian federation,/world/russia/news,2 good,2,,357,26,7%,62.89%,310
ehcp,,,,,456,90,20%,62.89%,1159
confirm identity,,,,,889,363,41%,62.89%,279
rishi sunak tax return,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,373,38,10%,62.89%,11
create an account,,,,,646,210,33%,62.89%,919
job vacancies,,,,,460,94,20%,62.89%,176
sponsorship jobs,,,,,"1,472",732,50%,62.89%,179
mobility,,,,,"1,195",558,47%,62.89%,232
update my details,,,,,450,89,20%,62.89%,738
google,,,,,375,43,11%,62.89%,760
statut,,,,,342,23,7%,62.89%,291
help line,,,,,360,35,10%,62.89%,933
a1 certificate,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3,,337,21,6%,62.89%,240
"""jenny harries""",,,,,336,22,7%,62.89%,1252
nurse,,,,,646,218,34%,62.89%,110
contact phone number,,,,,554,161,29%,62.89%,868
sign up,,,,,900,380,42%,62.89%,638
driver,,,,,798,316,40%,62.89%,479
change my phone number,,,,,382,54,14%,62.89%,859
payinghmrc,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3,,305,6,2%,62.89%,437
data,,,,,951,414,44%,62.89%,723
news,,,,,984,435,44%,62.89%,852
london,,,,,704,259,37%,62.89%,1206
logon,/sign-in,3 perfect,3,,297,3,1%,62.89%,1322
pay a prisoner,/send-prisoner-money,3 perfect,3,,355,40,11%,62.90%,699
gcse,,,,,758,294,39%,62.90%,555
oil,,,,,915,393,43%,62.90%,628
tax check code,/tax-codes,3 perfect,3,,907,388,43%,62.90%,20
vacancies,,,,,"1,321",649,49%,62.90%,292
nhs dentist,,,,,349,37,11%,62.90%,586
working for myself,,,,,328,24,7%,62.90%,62
phone,,,,,828,341,41%,62.90%,857
house hold support fund,,,,,401,72,18%,62.90%,67
updates,,,,,642,224,35%,62.90%,739
digital,,,,,684,251,37%,62.90%,879
csa,,,,,643,226,35%,62.90%,1435
lcwra,,,,,"1,220",591,48%,62.90%,1261
internship,,,,,637,224,35%,62.90%,32
contact details,,,,,887,382,43%,62.90%,867
insurance check,,,,,460,113,25%,62.90%,764
small employers relief,,,,,540,164,30%,62.90%,419
15 minute city,,,,,343,41,12%,62.90%,972
www.gov.uk,,,,,296,12,4%,62.90%,1253
electric vehicle,,,,,710,273,38%,62.90%,482
phone numbers,,,,,473,127,27%,62.90%,859
profile,,,,,411,89,22%,62.90%,759
carers element,,,,,679,258,38%,62.90%,105
chef,,,,,510,152,30%,62.90%,649
pate,/log-in-register-hmrc-online-services,3 perfect,3,,270,1,0%,62.90%,780
tell hmrc no amount is due,,,,,354,55,16%,62.90%,317
code of practice,,,,,411,91,22%,62.90%,725
customer service,,,,,539,172,32%,62.90%,421
cars,,,,,577,196,34%,62.90%,473
air bag,,,,,480,135,28%,62.90%,629
security,,,,,908,405,45%,62.90%,315
logout,,,,,269,4,1%,62.91%,1263
ppe,,,,,716,286,40%,62.91%,800
farm,,,,,385,78,20%,62.91%,155
paying hrmc,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3,,823,354,43%,62.91%,437
mobility allowance,,,,,781,328,42%,62.91%,232
pop,,,,,319,37,12%,62.91%,1188
class 7,,,,,739,303,41%,62.91%,961
war,,,,,286,18,6%,62.91%,304
solar panel grant,,,,,333,48,14%,62.91%,587
lateral flow covid,,,,,306,31,10%,62.91%,595
life certificate,,,,,423,105,25%,62.91%,87
tlscontact,,,,,343,55,16%,62.91%,867
gambling,,,,,539,179,33%,62.91%,872
link,,,,,316,39,12%,62.91%,716
p 60,,,,,265,7,3%,62.91%,1468
wales,,,,,330,48,15%,62.91%,1313
“halogen light bulb”,,,,,271,11,4%,62.91%,557
cost,,,,,624,234,38%,62.91%,455
late,,,,,298,29,10%,62.91%,96
bank details,,,,,575,204,35%,62.91%,383
tac,,,,,253,2,1%,62.91%,258
the green book,,,,,429,113,26%,62.91%,658
care,,,,,900,410,46%,62.91%,188
a rated sponsorships,/uk-visa-sponsorship-employers,3 perfect,3,,346,61,18%,62.91%,254
money,,,,,557,194,35%,62.91%,433
document checklist,,,,,367,75,20%,62.91%,284
medical device,,,,,606,226,37%,62.91%,36
consent,,,,,310,40,13%,62.91%,799
on line chat,/contact-hmrc,3 perfect,3,,248,1,0%,62.91%,870
overseas,,,,,720,299,42%,62.91%,1020
alarm,,,,,931,432,46%,62.91%,510
faq,,,,,315,44,14%,62.91%,1125
gp registration,https://www.nhs.uk/service-search,3 perfect,3,,324,50,15%,62.91%,1444
plumbing,,,,,312,43,14%,62.91%,519
rishi sunak,,,,,572,207,36%,62.91%,561
repayment,,,,,833,372,45%,62.91%,459
lawyer,,,,,340,62,18%,62.91%,323
dvl,,,,,297,35,12%,62.91%,1413
l,,,,,715,299,42%,62.91%,1477
help for house holds,,,,,279,25,9%,62.91%,67
opening times,,,,,334,60,18%,62.91%,91
liberty protection safeguards,,,,,318,51,16%,62.91%,266
trs,,,,,302,41,14%,62.91%,1168
post study visa,/graduate-visa,3 perfect,3,,489,159,33%,62.91%,832
pension tracker,/find-pension-contact-details,2 good,2,,857,391,46%,62.91%,403
dangerous,,,,,741,318,43%,62.91%,529
tesco,,,,,308,46,15%,62.92%,1153
funding,,,,,"1,054",516,49%,62.92%,379
mail,/contact-hmrc,2 good,2,,295,38,13%,62.92%,730
policies,,,,,339,66,19%,62.92%,273
tax checker,/check-vehicle-tax,2 good,2,,526,184,35%,62.92%,6
tax checker,/guidance/hmrc-tools-and-calculators,2 good,2,,526,184,35%,62.92%,6
hs codes,/guidance/using-the-harmonised-system-and-product-specific-rules-for-trade-between-the-uk-and-eu,3 perfect,3,,302,43,14%,62.92%,726
covid-19,,,,,487,160,33%,62.92%,969
rishi sunak tax returns,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,274,26,9%,62.92%,11
t,,,,,250,11,4%,62.92%,1471
application completion form,,,,,286,34,12%,62.92%,204
tier 4,,,,,485,160,33%,62.92%,958
apply for ni,/apply-national-insurance-number,3 perfect,3,,296,41,14%,62.92%,464
cf 83,,,,,240,6,3%,62.92%,1380
cleaner,,,,,368,87,24%,62.92%,516
benefit in kind,,,,,698,295,42%,62.92%,78
alcohol,,,,,949,454,48%,62.92%,135
post study work,/graduate-visa,3 perfect,3,,322,59,18%,62.92%,832
gv262,,,,,396,106,27%,62.92%,1158
engineering,,,,,402,110,27%,62.92%,605
market trend data,,,,,259,20,8%,62.92%,721
jsp 440,,,,,279,33,12%,62.92%,1212
health care assistant,,,,,617,246,40%,62.92%,189
clinical governance,,,,,304,49,16%,62.92%,27
make a complaint,,,,,594,232,39%,62.92%,917
application status,,,,,593,232,39%,62.92%,278
solar panel grants,,,,,272,30,11%,62.92%,587
my messages,,,,,243,12,5%,62.92%,846
customer service assistant,,,,,228,3,1%,62.92%,421
laundering,,,,,258,22,9%,62.92%,596
child trustfund,,,,,326,65,20%,62.92%,104
change bank account,,,,,326,65,20%,62.92%,383
white paper,,,,,408,117,29%,62.92%,660
pension status,,,,,357,85,24%,62.92%,278
a ray of sunshine,,,,,225,2,1%,62.92%,574
diesel claim,,,,,285,40,14%,62.92%,608
strike,,,,,599,238,40%,62.92%,504
government,,,,,640,264,41%,62.92%,310
child support,,,,,911,435,48%,62.92%,104
tls contact,,,,,231,7,3%,62.92%,1441
h,,,,,248,18,7%,62.92%,1486
change mobile number,,,,,287,43,15%,62.92%,861
online,,,,,498,176,35%,62.92%,873
over payment,,,,,271,33,12%,62.92%,457
double descent,,,,,226,5,2%,62.92%,595
career,,,,,697,302,43%,62.92%,23
passport checker,,,,,297,50,17%,62.92%,802
statutory declaration,,,,,535,200,37%,62.92%,291
visa tracking,,,,,884,420,48%,62.92%,702
accounting,,,,,284,42,15%,62.92%,282
teaching assistant,,,,,364,93,26%,62.92%,49
low carbon,,,,,229,8,3%,62.92%,259
agriculture,,,,,440,141,32%,62.92%,223
gwf,,,,,354,87,25%,62.92%,855
wickersley nursery lawsuits,,,,,219,2,1%,62.92%,1252
vfs,,,,,287,45,16%,62.92%,1404
smoking,,,,,682,294,43%,62.92%,134
handbrake,,,,,256,26,10%,62.92%,598
contact tax office,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,2 good,2,,244,19,8%,62.92%,18
contact tax office,/contact-hmrc,2 good,2,,244,19,8%,62.92%,18
invitation letter,,,,,324,70,22%,62.92%,842
web filing,,,,,497,179,36%,62.92%,711
apply for ni number,/apply-national-insurance-number,3 perfect,3,,253,26,10%,62.92%,466
referee,,,,,305,59,19%,62.92%,818
warehouse,,,,,347,86,25%,62.92%,416
dps,,,,,315,66,21%,62.92%,1224
essex,,,,,261,32,12%,62.92%,1324
self certify,/taking-sick-leave,3 perfect,3,,214,3,1%,62.92%,192
construction,,,,,"1,009",504,50%,62.92%,213
link app,,,,,447,150,34%,62.92%,713
r,,,,,247,24,10%,62.92%,1482
143,,,,,234,16,7%,62.92%,1390
pr,,,,,226,11,5%,62.92%,1431
правительство российской федерацией,,,,,247,25,10%,62.93%,1253
university,,,,,724,326,45%,62.93%,24
appreciate,,,,,216,6,3%,62.93%,597
hs2,,,,,422,136,32%,62.93%,101
solar panel,,,,,409,128,31%,62.93%,588
hmr,,,,,209,2,1%,62.93%,513
nuclear,,,,,428,140,33%,62.93%,503
claim tax back,/claim-tax-refund,3 perfect,3,,631,268,42%,62.93%,10
death records,,,,,586,240,41%,62.93%,320
vat 7,,,,,243,24,10%,62.93%,960
d,,,,,235,19,8%,62.93%,1454
v,,,,,244,25,10%,62.93%,1490
paying harv,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3,,263,37,14%,62.93%,437
upload documents,,,,,712,320,45%,62.93%,750
book appointment,,,,,515,196,38%,62.93%,814
covid passport,,,,,356,96,27%,62.93%,784
section 13,,,,,273,45,16%,62.93%,967
call,,,,,325,78,24%,62.93%,866
change of ownership,,,,,475,173,36%,62.93%,804
turn to us,,,,,206,4,2%,62.93%,940
moneyclaim,,,,,206,4,2%,62.93%,1310
artificial intelligence,,,,,379,113,30%,62.93%,26
hmrc contact number,,,,,763,355,47%,62.93%,506
pay as you go,/log-in-register-hmrc-online-services,2 good,2,,299,63,21%,62.93%,695
ilr application,,,,,291,58,20%,62.93%,789
employment law,,,,,427,144,34%,62.93%,261
passport expiry,,,,,401,128,32%,62.93%,803
chemical weapons syria,,,,,237,25,11%,62.93%,127
freedom pass,,,,,467,170,36%,62.93%,775
second job,,,,,292,60,21%,62.93%,176
law,,,,,365,106,29%,62.93%,262
a rated sponsorship employers,/uk-visa-sponsorship-employers,3 perfect,3,,495,188,38%,62.93%,254
farming,,,,,426,145,34%,62.93%,155
petitions,,,,,572,237,41%,62.93%,290
ulez check,,,,,264,43,16%,62.93%,1034
"""prudential regulation authority""",,,,,202,4,2%,62.93%,291
covid 19,,,,,865,422,49%,62.93%,969
uk vi,,,,,222,17,8%,62.93%,1418
net zero,,,,,782,370,47%,62.93%,398
international students,,,,,431,149,35%,62.93%,31
press release,,,,,273,50,18%,62.93%,853
air rated sponsorship,,,,,301,68,23%,62.93%,630
b1 test,,,,,469,174,37%,62.93%,1376
united kingdom,,,,,230,24,10%,62.93%,219
uan number,,,,,230,24,10%,62.93%,1114
telephone numbers,,,,,263,45,17%,62.93%,862
bank,,,,,369,112,30%,62.93%,384
electric car,,,,,438,156,36%,62.93%,471
employee,,,,,368,112,30%,62.93%,264
tax identification number,/contact-hmrc,3 perfect,3,,390,126,32%,62.93%,19
broadband,,,,,481,184,38%,62.93%,881
care home fees,,,,,273,53,19%,62.93%,186
money and tax,/browse/tax,3 perfect,3,,384,123,32%,62.93%,5
change number,,,,,284,60,21%,62.93%,861
linking code,,,,,241,33,14%,62.93%,725
landlords,,,,,514,205,40%,62.93%,412
2023,,,,,387,125,32%,62.93%,992
my profile,,,,,198,6,3%,62.93%,759
