query,link,score_description,score,,In Search API?,query translated,Page title,Page title translated by Google Translate,Page views (7 days)
cymraeg,/cymraeg,3 perfect,3,,no,,Cynnwys yn yr iaith Gymraeg sydd ar gael ar GOV.UK,Content in the Welsh Language available on Gov.uk,"1,414"
,/mewngofnodi-ich-cyfrif-credyd-cynhwysol,,,,no,,Mewngofnodi i’ch cyfrif Credyd Cynhwysol,Login to your Universal Credit account,"1,163"
treth car,/treth-car,3 perfect,3,,no,,Trethu eich cerbyd,Taxing your vehicle,433
,/gwirio-statws-mot,,,,no,,Gwirio statws MOT cerbyd,Check Mot Vehicle Status,350
,/gwasanaethau-cthem-mewngofnodi-neu-gofrestru,,,,no,,Gwasanaethau CThEF: mewngofnodi neu gofrestru,CTHEF SERVICES: Login or register,251
,/gwirio-treth-cerbyd,,,,no,,Gwirio os yw cerbyd wedi'i drethu,Check if vehicle is taxed,220
,/ymgeisio-adnewyddu-pasbort,,,,no,,Gwneud cais ar-lein am basbort y DU,Apply online for UK Passport,213
,/archebu-prawf-gyrru-ymarferol,,,,no,,Archebu eich prawf gyrru,Order your driving test,211
,/cyfrifiannell-budd-daliadau,,,,no,,Cyfrifiannell Budd-daliadau,Benefit Calculator,209
,/chwilio-am-swydd,,,,no,,Dod o hyd i swydd,Find a job,208
,/cyfrif-treth-personol,,,,no,,Cyfrif treth personol: mewngofnodi neu sefydlu,Personal tax account: Login or set up,191
,/archebu-prawf-gyrru-theori,,,,no,,Archebu eich prawf gyrru theori,Order your theory driving test,187
,/gwirio-eich-pensiwn-y-wladwriaeth,,,,no,,Gwirio eich rhagolwg Pensiwn y Wladwriaeth,Checking your State Pension Preview,143
,/cofrestru-i-bleidleisio,,,,no,,Cofrestru i bleidleisio,Register to vote,112
,/gweld-neu-rannu-eich-gwybodaeth-trwydded-yrru,,,,no,,Gweld neu rannu eich gwybodaeth trwydded yrru,View or share your driving license information,112
,/mewngofnodi-ir-cyfrif-gofal-plant,,,,no,,Mewngofnodi i’ch cyfrif gofal plant,Login to your childcare account,104
,/newid-cyfeiriad-trwydded-yrru,,,,no,,Newid y cyfeiriad ar eich trwydded yrru,Change the address on your driving license,96
,/cael-gwybodaeth-cerbyd-gan-dvla,,,,no,,Cael gwybodaeth cerbyd gan DVLA,Get vehicle information from DVLA,95
,/cyflwyno-ch-ffurflen-dreth-hunanasesiad-ar-lein,,,,no,,Cyflwyno’ch Ffurflen Dreth Hunanasesiad ar-lein,Submit your online self-assessment tax return,92
,/taliad-annibyniaeth-personol-pip,,,,no,,Taliad Annibyniaeth Personol (PIP),Personal Independence Payment (PIP),92
,/adnewyddu-trwydded-yrru,,,,no,,Adnewyddu eich trwydded yrru,Refresh your driver's license,86
,/costau-galwadau,,,,no,,Costau ffôn a rhifau ffôn,Phone costs and phone numbers,78
,/olrhain-cais-eich-trwydded-yrru,,,,no,,Olrhain eich cais am drwydded yrru,Tracking your Driver's License Application,77
,/newid-cyfeiriad-v5cw,,,,no,,Newid eich cyfeiriad ar eich llyfr log cerbyd (V5CW),Change your address on your Vehicle Log Book (V5CW),73
,/credyd-cynhwysol,,,,no,,Credyd Cynhwysol,Universal Credit,72
,/gwirioch-treth-incwm-ar-gyfer-y-flwyddyn-bresennol,,,,no,,Gwirio’ch Treth Incwm ar gyfer y flwyddyn bresennol,Checking your income tax for the current year,72
,/gwerthu-prynu-cerbyd,,,,no,,"Rhoi gwybod i DVLA eich bod wedi gwerthu, trosglwyddo neu brynu cerbyd","Inform DVLA you have sold, transfer or buy a vehicle",70
,/cais-trwydded-yrru-dros-dro,,,,no,,Gwneud cais am eich trwydded yrru dros dro gyntaf,Apply for your first temporary driving license,64
,/gwneud-hos,,,,no,,Cofrestrwch eich cerbyd fel oddi ar y ffordd (HOS),Sign up your vehicle as off -road (HOS),62
,/cymryd-absenoldeb-salwch,,,,no,,Cymryd absenoldeb salwch,Taking sick leave,57
,/gwirio-rhif-taw-du,,,,no,,Gwirio rhif TAW yn y DU,Check VAT Number in the UK,56
