query,link,score
evisa,/get-access-evisa,3
evisa,/guidance/online-immigration-status-evisa,2
evisa,/government/publications/view-and-prove-your-immigration-status-evisa,2
evisa,/government/publications/online-immigration-status-evisa-help-video/how-to-create-a-ukvi-account-and-access-your-evisa,1
evisa,/government/publications/online-immigration-status-evisa-help-video,1
evisa,/guidance/using-your-uk-visas-and-immigration-account,1
evisa,/view-prove-immigration-status,1
evisa,/government/publications/online-immigration-status-evisa-help-video/what-is-an-evisa,1
evisa,/update-uk-visas-immigration-account-details,1
evisa,/government/publications/online-immigration-status-evisa-help-video/how-to-travel-with-your-evisa-video,1
evisa,/biometric-residence-permits,1
evisa,/check-uk-visa,1
evisa,/government/news/evisa-rollout-begins-with-immigration-documents-replaced-by-2025,1
share code,/view-prove-immigration-status,3
share code,/prove-right-to-work,3
share code,/check-immigration-status,2
share code,/view-right-to-work,2
share code,/prove-right-to-rent,1
share code,/view-right-to-rent,1
share code,/guidance/online-immigration-status-evisa,1
share code,/check-job-applicant-right-to-work,1
share code,/id-for-driving-licence,1
share code,/guidance/using-your-uk-visas-and-immigration-account,1
share code,/view-driving-licence,1
share code,/guidance/prove-your-right-to-work-eu-eea-and-swiss-citizens,1
share code,/update-uk-visas-immigration-account-details,1
paying hmrc,/pay-self-assessment-tax-bill,3
paying hmrc,/pay-paye-tax,2
paying hmrc,/government/collections/paying-hmrc-detailed-information,2
paying hmrc,/pay-corporation-tax,2
paying hmrc,/pay-vat,2
paying hmrc,/guidance/pay-taxes-penalties-and-enquiry-settlements,2
paying hmrc,/pay-paye-penalty,1
paying hmrc,/pay-self-assessment-penalty,1
paying hmrc,/repay-child-benefit-overpayments,1
paying hmrc,/tax-credits-overpayments,1
paying hmrc,/difficulties-paying-hmrc,1
paying hmrc,/guidance/find-out-how-to-pay-a-debt-to-hmrc-with-a-time-to-pay-arrangement,1
paying hmrc,/pay-tax-debit-credit-card,1
paying hmrc,/simple-assessment,1
paying hmrc,/tax-overpayments-and-underpayments,1
e visa,/get-access-evisa,3
e visa,/guidance/online-immigration-status-evisa,3
e visa,/government/publications/online-immigration-status-evisa-help-video/how-to-create-a-ukvi-account-and-access-your-evisa,2
e visa,/government/publications/online-immigration-status-evisa-help-video,1
e visa,/government/publications/view-and-prove-your-immigration-status-evisa,1
e visa,/guidance/using-your-uk-visas-and-immigration-account,1
e visa,/government/publications/online-immigration-status-evisa-help-video/what-is-an-evisa,1
e visa,/view-prove-immigration-status,1
e visa,/check-uk-visa,1
e visa,/biometric-residence-permits,1
e visa,/apply-to-come-to-the-uk,1
e visa,/government/news/evisa-rollout-begins-with-immigration-documents-replaced-by-2025,1
e visa,/government/publications/online-immigration-status-evisa-help-video/how-to-travel-with-your-evisa-video,1
mot,/check-mot-history,3
mot,/check-mot-status,3
mot,/getting-an-mot,2
mot,/mot-testing-service,1
mot,/mot-reminder,1
mot,/browse/driving/vehicle-tax-mot-insurance,1
mot,/government/collections/mot-manuals-and-special-notices,1
mot,/replacing-lost-damaged-mot-certificate,1
mot,/guidance/mot-testing-guide,1
mot,/report-no-mot,1
mot,/guidance/mot-inspection-manual-for-private-passenger-and-light-commercial-vehicles,1
child trust fund,/child-trust-funds,3
child trust fund,/government/organisations/hm-revenue-customs/contact/child-trust-fund,2
child trust fund,/government/news/almost-430000-young-people-urged-to-claim-their-cash,2
child trust fund,/government/news/671000-young-people-urged-to-cash-in-their-government-savings-pot,1
child trust fund,/junior-individual-savings-accounts,1
child trust fund,/government/publications/list-of-authorised-child-trust-fund-providers,1
child trust fund,/government/publications/child-trust-fund-guidance-notes-for-providers/child-trust-fund-guidance-notes-for-providers,1
child trust fund,/guidance/transfer-of-a-child-trust-fund-or-junior-isa-if-youre-an-isa-manager,1
child trust fund,/government/publications/child-trust-fund-guidance-notes-for-providers,1
child trust fund,/government/publications/maturing-child-trust-funds,1
child trust fund,/government/publications/maturing-child-trust-funds/maturing-child-trust-funds,1
universal credit,/universal-credit,3
