query,link,score,select_item_event
sa100,/government/publications/self-assessment-tax-return-sa100,2,"5,883"
rp07,/government/publications/apply-to-change-a-companys-disputed-registered-office-address-rp07,2,"3,606"
ds01,/government/publications/strike-off-a-company-from-the-register-ds01,2,"3,346"
minimum wage,/government/publications/the-national-minimum-wage-in-2023,2,"3,023"
ni38,/government/publications/social-security-abroad-ni38,2,"2,809"
rp02a,/government/publications/apply-for-rectification-by-the-registrar-of-companies-rp02a,2,"2,223"
ap1,/government/publications/change-the-register-ap1,2,"1,681"
right to work,/government/publications/right-to-work-checklist,2,"1,512"
rp06,/government/publications/apply-to-remove-material-about-a-director-rp06,2,"1,493"
power of attorney,/government/publications/make-a-lasting-power-of-attorney,2,"1,483"
xl bully,/government/publications/official-definition-of-an-xl-bully-dog,2,"1,352"
blue badge,/government/publications/blue-badge-can-i-get-one,2,"1,344"
chv1,/government/publications/charities-change-of-details-form-chv1,2,"1,310"
sa105,/government/publications/self-assessment-uk-property-sa105,2,"1,264"
tr1,/government/publications/registered-titles-whole-transfer-tr1,2,"1,172"
show me tell me,/government/publications/car-show-me-tell-me-vehicle-safety-questions,2,909
lpa,/government/publications/make-a-lasting-power-of-attorney,2,876
permitted work,/government/publications/employment-and-support-allowance-permitted-work-form,2,839
sa102,/government/publications/self-assessment-employment-sa102,2,817
pw1,/government/publications/employment-and-support-allowance-permitted-work-form,2,783
rp04,/government/publications/file-a-second-filing-of-a-document-previously-delivered-rp04,2,736
iht205,/government/publications/inheritance-tax-return-of-estate-information-iht205-2011,2,688
national minimum wage,/government/publications/the-national-minimum-wage-in-2023,2,660
lasting power of attorney,/government/publications/make-a-lasting-power-of-attorney,2,645
sa100,/government/publications/sa100-postal-output-project,2,600
minimum wage,/government/publications/minimum-wage-rates-for-2023,2,599
sr01,/government/publications/apply-to-remove-your-home-address-from-the-public-register-sr01,2,583
ex160,/government/publications/apply-for-help-with-court-and-tribunal-fees,2,575
show me tell me questions,/government/publications/car-show-me-tell-me-vehicle-safety-questions,2,549
