query,link,score_description,score
p50,/government/publications/income-tax-claiming-tax-back-when-you-have-stopped-working-p50,3 perfect,3
ni 38,/government/publications/social-security-abroad-ni38,3 perfect,3
ni 38,/government/publications/social-security-abroad-ni38/guidance-on-social-security-abroad-ni38,3 perfect,3
a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3
n138,/government/publications/social-security-abroad-ni38,3 perfect,3
tier 5,/browse/visas-immigration/work-visas,2 good,2
a1 form,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3
section 21,/evicting-tenants/section-21-and-section-8-notices,3 perfect,3
a1 certificate,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3
form a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3
ni 38 form,/government/publications/social-security-abroad-ni38,3 perfect,3
portable document a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3
fl401t,/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3
v212,/sorn-statutory-off-road-notification,2 good,2
v212,/vehicle-tax,2 good,2
oe028105,/get-information-about-a-company,2 good,2
ppdcgt,/government/publications/report-capital-gains-tax-on-uk-property,3 perfect,3
an,/government/publications/form-an-guidance,3 perfect,3
an,/british-citizenship,2 good,2
fl4o1t,/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3
fl401t',/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3
fl401t’,/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3
‘fl401t’,/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3
c79,/guidance/get-your-import-vat-certificates,3 perfect,3
c79,/government/publications/form-c79-application-related-to-enforcement-of-a-child-arrangement-order,2 good,2
