query,link,score_description,score
retirement,/government/case-studies/retirement-calculator,1 okay,1
contact number,/lost-national-insurance-number,1 okay,1
northern ireland,/government/collections/moving-goods-into-out-of-or-through-northern-ireland,2 good,2
northern ireland,/guidance/trading-and-moving-goods-in-and-out-of-northern-ireland,2 good,2
exporting to ireland,/export-health-certificates/export-pig-meat-from-northern-ireland-to-china-certificate-7006ni,0 bad,0
exporting to ireland,/export-health-certificates/export-amphibians-to-ireland-8619ehc,1 okay,1
exporting to ireland,/export-health-certificates/export-live-reptiles-to-ireland-certificate-9045,1 okay,1
exporting to ireland,/guidance/retail-export-scheme-northern-ireland,0 bad,0
exporting to ireland,/export-health-certificates,2 good,2
dla for children,/disability-living-allowance-children,3 perfect,3
dla for children,/dla-disability-living-allowance-benefit,1 okay,1
dla for children,/government/publications/disability-living-allowance-for-children-claim-form,2 good,2
bank holidays,/bank-holidays,3 perfect,3
bank holidays,/track-passport-application,0 bad,0
bank holidays,/get-a-passport-urgently,0 bad,0
bank holidays,/pay-self-assessment-tax-bill,0 bad,0
bank holidays,/how-to-have-your-benefits-paid,2 good,2
bank holidays,/child-benefit-payment-dates,2 good,2
bank holidays,/when-is-your-next-tax-credits-payment,2 good,2
flooding,/government/organisations/flood-re,1 okay,1
fire prevention regulations,/government/publications/fire-safety-england-regulations-2022,2 good,2
levelling up,/government/organisations/department-for-levelling-up-housing-and-communities,3 perfect,3
appointment,/guidance/public-appointments,1 okay,1
poa,/government/publications/poa-rules,1 okay,1
poa,/government/publications/poa-other-related-documents,1 okay,1
web chat,/government/publications/web-chat-moderation-policy,1 okay,1
web chat,/guidance/using-chatbots-and-webchat-tools,2 good,2
self certification,/taking-sick-leave,3 perfect,3
self certification,/self-assessment-tax-returns,0 bad,0
self certification,/prove-right-to-work,0 bad,0
self certification,/guidance/apply-for-a-certificate-or-document-if-self-employed-in-the-eu-eea-or-switzerland-ca3837,0 bad,0
self certification,/service-standard-reports,1 okay,1
self certification,/government/publications/secure-by-default-self-certification-of-video-surveillance-systems,1 okay,1
child trust fund,/government/organisations/hm-revenue-customs/contact/child-trust-fund,1 okay,1
child trust fund,/child-trust-funds,3 perfect,3
working from home,/tax-relief-for-employees,3 perfect,3
working from home,/prove-right-to-work,0 bad,0
working from home,/check-job-applicant-right-to-work,0 bad,0
working from home,/order-coronavirus-rapid-lateral-flow-tests,0 bad,0
working from home,/government/publications/magnox-guidance-on-working-from-home,1 okay,1
vat registration,/government/publications/vat-application-to-cancel-your-vat-registration-vat7,1 okay,1
budgeting advance,/budgeting-help-benefits,1 okay,1
budgeting advance,/universal-credit/other-financial-support,3 perfect,3
budgeting advance,/guidance/universal-credit-advances,2 good,2
c79,/guidance/get-your-import-vat-certificates,3 perfect,3
c79,/government/publications/form-c79-application-related-to-enforcement-of-a-child-arrangement-order,2 good,2
