query,link,score_description,score,,Total Unique Searches,% Search Refinements,clusterID
[postcode],,,,,"30,431",20%,338
not,/check-mot-history,3 perfect,3,,"6,275",91%,100
not,/check-mot-status,3 perfect,3,,"6,275",,100
no,/national-insurance-rates-letters,3 perfect,3,,957,87%,105
prohibitedfromeducation,,,,,928,95%,6
a,,,,,875,44%,106
fl401t,/government/publications/apply-for-a-non-molestation-or-occupation-order-fl401,3 perfect,3,,670,47%,110
taxcode,/tax-codes,3 perfect,3,,639,81%,354
taxcode,/check-income-tax-current-year,2 good,2,,639,,354
taxcode,/personal-tax-account,2 good,2,,639,,354
v212,/sorn-statutory-off-road-notification,2 good,2,,633,29%,227
v212,/vehicle-tax,2 good,2,,633,,227
helpforhouseholds,https://helpforhouseholds.campaign.gov.uk,3 perfect,3,,599,39%,52
helpforhouseholds,/cost-of-living,2 good,2,,599,,52
rezidenta,,,,,588,53%,412
sponsership,,,,,578,73%,72
it,,,,,555,44%,101
pensio,/check-state-pension,3 perfect,3,,539,93%,29
lpoa,/power-of-attorney,3 perfect,3,,484,88%,233
chilcare,/sign-in-childcare-account,3 perfect,3,,480,87%,51
if,/sign-in-universal-credit,3 perfect,3,,461,86%,104
devorce,/divorce,3 perfect,3,,425,60%,278
oe028105,/get-information-about-a-company,2 good,2,,387,30%,290
passaport,,,,,384,75%,323
in,,,,,372,62%,15
penison,,,,,365,62%,204
d737,,,,,343,46%,410
getway,,,,,337,73%,290
trustfund,,,,,333,69%,70
apprenteships,/apply-apprenticeship,3 perfect,3,,324,86%,25
previsional,/apply-first-provisional-driving-licence,3 perfect,3,,316,79%,8
presetle,,,,,305,67%,36
sponser,,,,,304,68%,72
d801a,,,,,292,38%,388
presettel,,,,,286,65%,36
settlment,/settled-status-eu-citizens-families,3 perfect,3,,283,86%,3
deedpoll,,,,,283,88%,386
ppdcgt,/government/publications/report-capital-gains-tax-on-uk-property,3 perfect,3,,281,65%,255
hmrconline,,,,,279,67%,180
payr,,,,,252,100%,268
electrol,,,,,246,82%,38
shercode,/prove-right-to-work,3 perfect,3,,245,63%,296
shercode,/view-prove-immigration-status,3 perfect,3,,245,,296
sidemen,,,,,243,40%,242
adrp,/government/publications/universal-credit-landlord-request-for-a-managed-payment-or-rent-arrears-deduction,3 perfect,3,,242,77%,381
haaland,,,,,240,31%,262
30hours,,,,,237,78%,218
appren,/apply-apprenticeship,3 perfect,3,,236,65%,26
an,/government/publications/form-an-guidance,3 perfect,3,,234,77%,93
an,/british-citizenship,2 good,2,,234,,93
pesion,/check-state-pension,3 perfect,3,,233,89%,1
aprentaships,/apply-apprenticeship,3 perfect,3,,233,54%,25
pc1h,,,,,232,59%,444
landregistry,/government/organisations/land-registry,3 perfect,3,,230,83%,46
pressetle,,,,,228,71%,35
counciltax,,,,,223,78%,64
xnxx,,,,,222,16%,203
aupair,,,,,216,53%,381
apprenteship,/apply-apprenticeship,3 perfect,3,,209,87%,25
rpch01,,,,,209,74%,411
provisinal,,,,,206,82%,42
v11z,,,,,204,46%,209
aprentiships,/apply-apprenticeship,3 perfect,3,,202,64%,25
d906,,,,,194,35%,139
selfassement,/log-in-file-self-assessment-tax-return,3 perfect,3,,187,90%,7
pendion,,,,,186,91%,91
ca4361,,,,,185,37%,367
pervisional,/apply-first-provisional-driving-licence,3 perfect,3,,182,83%,8
m.o.t,/check-mot-status,3 perfect,3,,182,55%,116
gataway,,,,,181,77%,242
fa100,,,,,180,67%,192
loggin,,,,,178,69%,92
dval,/government/organisations/driver-and-vehicle-licensing-agency,3 perfect,3,,176,72%,81
aprentiship,/apply-apprenticeship,3 perfect,3,,173,68%,25
vq7,,,,,172,30%,39
12695421,,,,,171,33%,147
apprentship,/apply-apprenticeship,3 perfect,3,,169,58%,25
appre,,,,,169,70%,239
vissa,,,,,169,65%,396
سكس,,,,,168,9%,119
turist,,,,,168,73%,128
спонсор,,,,,168,42%,322
nipf7,,,,,167,49%,154
aprenticeship,/apply-apprenticeship,3 perfect,3,,166,88%,25
appreticeships,/apply-apprenticeship,3 perfect,3,,164,72%,28
apprentships,/apply-apprenticeship,3 perfect,3,,163,57%,25
aprenticeships,/apply-apprenticeship,3 perfect,3,,163,78%,25
prnsion,/check-state-pension,3 perfect,3,,159,90%,1
sharcode,/prove-right-to-work,3 perfect,3,,159,77%,206
sharcode,/view-prove-immigration-status,3 perfect,3,,159,,206
ladbaby,,,,,159,38%,376
gatewat,,,,,155,95%,176
брп,,,,,152,62%,333
ebssaf,,,,,152,77%,383
sdlt6,,,,,151,40%,325
pencion,,,,,150,74%,204
1263l,,,,,150,39%,390
datford,,,,,149,67%,270
presetled,,,,,148,72%,36
pansion,/check-state-pension,3 perfect,3,,146,73%,1
aprentaship,/apply-apprenticeship,3 perfect,3,,144,52%,25
minesters,/government/ministers,3 perfect,3,,144,10%,126
shercod,/prove-right-to-work,3 perfect,3,,144,61%,296
shercod,/view-prove-immigration-status,3 perfect,3,,144,61%,296
lpa120a,,,,,144,63%,345
ukpn1,,,,,144,59%,378
emerytura,,,,,143,52%,128
contacthmrc,,,,,142,89%,40
apprentichips,/apply-apprenticeship,3 perfect,3,,137,86%,26
childtrustfund,,,,,137,68%,70
companyhouse,,,,,136,66%,57
v65,,,,,136,68%,246
be,,,,,135,63%,108
ca8421i,,,,,135,76%,344
vat700,,,,,135,76%,443
chikdcare,/sign-in-childcare-account,3 perfect,3,,129,95%,54
ex50ahmcts,,,,,129,45%,345
sa032,,,,,129,52%,373
hmrx,/government/organisations/hm-revenue-customs,3 perfect,3,,128,98%,379
віза,,,,,127,51%,298
