id,query,link,link_position,score,created_at
1,cost of living,/guidance/cost-of-living-payment,0,3,2022-12-05 21:23:07
1,cost of living,/check-benefits-financial-support,1,3,2022-12-05 21:23:07
1,cost of living,/the-warm-home-discount-scheme,2,3,2022-12-05 21:23:07
1,cost of living,/guidance/understanding-student-living-costs,3,1,2022-12-05 21:23:07
1,cost of living,/winter-fuel-payment,4,3,2022-12-05 21:23:07
1,cost of living,/cost-living-help-local-council,5,3,2022-12-05 21:23:07
1,cost of living,/request-copy-criminal-record,6,0,2022-12-05 21:23:07
1,cost of living,/universal-credit,7,1,2022-12-05 21:23:07
1,cost of living,/pip,8,1,2022-12-05 21:23:07
1,cost of living,/help-with-childcare-costs,9,1,2022-12-05 21:23:07
2,bank holidays,/bank-holidays,0,3,2022-12-06 09:57:29
2,bank holidays,/calculate-your-holiday-entitlement,1,1,2022-12-06 09:57:29
2,bank holidays,/child-benefit-payment-dates,2,2,2022-12-06 09:57:29
2,bank holidays,/apply-to-come-to-the-uk,3,0,2022-12-06 09:57:29
2,bank holidays,/pay-self-assessment-tax-bill,4,1,2022-12-06 09:57:29
2,bank holidays,/order-coronavirus-rapid-lateral-flow-tests,5,0,2022-12-06 09:57:29
2,bank holidays,/government/publications/ilf-bank-holiday-costs-policy-equality-impact-assessment,6,1,2022-12-06 09:57:29
2,bank holidays,/check-uk-visa,7,0,2022-12-06 09:57:29
2,bank holidays,/universal-credit,8,0,2022-12-06 09:57:29
2,bank holidays,/standard-visitor,9,0,2022-12-06 09:57:29
3,cost of living,/guidance/cost-of-living-payment,0,3,2022-12-06 10:44:02
3,cost of living,/check-benefits-financial-support,1,3,2022-12-06 10:44:02
3,cost of living,/the-warm-home-discount-scheme,2,2,2022-12-06 10:44:02
3,cost of living,/guidance/understanding-student-living-costs,3,2,2022-12-06 10:44:02
3,cost of living,/winter-fuel-payment,4,2,2022-12-06 10:44:02
3,cost of living,/cost-living-help-local-council,5,2,2022-12-06 10:44:02
3,cost of living,/request-copy-criminal-record,6,0,2022-12-06 10:44:02
3,cost of living,/universal-credit,7,1,2022-12-06 10:44:02
3,cost of living,/pip,8,1,2022-12-06 10:44:02
3,cost of living,/help-with-childcare-costs,9,2,2022-12-06 10:44:02
4,help save money,/get-help-savings-low-income,0,1,2022-12-06 10:45:26
4,help save money,/sign-in-help-to-save,1,0,2022-12-06 10:45:26
4,help save money,/government/publications/why-actuaries-are-essential-to-government,2,0,2022-12-06 10:45:26
4,help save money,/guidance/cost-of-living-payment,3,2,2022-12-06 10:45:26
4,help save money,/government/collections/schools-financial-health-and-efficiency,4,0,2022-12-06 10:45:26
4,help save money,/government/case-studies/teaching-vacancies-helps-save-time-and-money-on-recruitment,5,0,2022-12-06 10:45:26
4,help save money,/log-in-register-hmrc-online-services,6,0,2022-12-06 10:45:26
4,help save money,/self-assessment-tax-returns,7,0,2022-12-06 10:45:26
4,help save money,/universal-credit,8,1,2022-12-06 10:45:26
4,help save money,/personal-pensions-your-rights,9,0,2022-12-06 10:45:26
5,help reduce bills,/government/news/government-joins-with-households-to-help-millions-reduce-their-energy-bills,0,2,2022-12-06 10:45:58
5,help reduce bills,/guidance/energy-bill-relief-scheme-help-for-businesses-and-other-non-domestic-customers,1,1,2022-12-06 10:45:58
5,help reduce bills,/improve-energy-efficiency,2,2,2022-12-06 10:45:58
5,help reduce bills,/difficulties-paying-hmrc,3,1,2022-12-06 10:45:58
5,help reduce bills,/pay-self-assessment-tax-bill,4,0,2022-12-06 10:45:58
5,help reduce bills,/self-assessment-tax-returns,5,0,2022-12-06 10:45:58
5,help reduce bills,/introduction-to-business-rates,8,0,2022-12-06 10:45:58
5,help reduce bills,/estimate-income-tax,9,0,2022-12-06 10:45:58
6,get a license to run bar,/government/organisations/disclosure-and-barring-service,0,0,2022-12-06 10:46:30
6,get a license to run bar,/get-information-about-a-company,1,0,2022-12-06 10:46:30
6,get a license to run bar,/request-copy-criminal-record,2,0,2022-12-06 10:46:30
6,get a license to run bar,/get-vehicle-information-from-dvla,3,0,2022-12-06 10:46:30
6,get a license to run bar,/view-driving-licence,4,0,2022-12-06 10:46:30
6,get a license to run bar,/standard-visitor,5,0,2022-12-06 10:46:30
6,get a license to run bar,/universal-credit,6,0,2022-12-06 10:46:30
6,get a license to run bar,/uk-visa-sponsorship-employers,7,0,2022-12-06 10:46:30
6,get a license to run bar,/guidance/alcohol-at-charity-meetings-and-events,8,1,2022-12-06 10:46:30
6,get a license to run bar,/employment-agencies-and-businesses,9,0,2022-12-06 10:46:30
7,get alcohol license,/log-in-register-hmrc-online-services,0,0,2022-12-06 10:47:00
7,get alcohol license,/get-information-about-a-company,1,0,2022-12-06 10:47:00
7,get alcohol license,/penalty-points-endorsements,2,0,2022-12-06 10:47:00
7,get alcohol license,/personal-tax-account,3,0,2022-12-06 10:47:00
7,get alcohol license,/get-vehicle-information-from-dvla,4,0,2022-12-06 10:47:00
7,get alcohol license,/driving-disqualifications,5,0,2022-12-06 10:47:00
7,get alcohol license,/check-alcohol-wholesaler-registration,6,0,2022-12-06 10:47:00
7,get alcohol license,/personal-licence-to-sell-alcohol,7,3,2022-12-06 10:47:00
7,get alcohol license,/universal-credit,8,0,2022-12-06 10:47:00
7,get alcohol license,/premises-licence,9,3,2022-12-06 10:47:00
8,fishing license,/fishing-licences,0,3,2022-12-06 10:48:00
8,fishing license,/government/collections/fishing-vessel-licences,1,2,2022-12-06 10:48:00
8,fishing license,/government/publications/fishing-vessel-licence-types,2,2,2022-12-06 10:48:00
8,fishing license,/guidance/do-i-need-a-fishing-vessel-licence,3,2,2022-12-06 10:48:00
8,fishing license,/guidance/understand-your-fishing-vessel-licence,4,2,2022-12-06 10:48:00
8,fishing license,/government/publications/rod-fishing-licence-campaign,5,1,2022-12-06 10:48:00
8,fishing license,/commercial-inland-fishing-licence,6,2,2022-12-06 10:48:00
8,fishing license,/fishing-licence-northern-ireland,8,2,2022-12-06 10:48:00
8,fishing license,/fishing-vessel-licence-under-10-metres,9,2,2022-12-06 10:48:00
9,help with bills,/guidance/getting-the-energy-bills-support-scheme-discount,0,3,2022-12-06 11:10:53
9,help with bills,/government/news/up-to-600-for-pensioners-arrive-in-bank-accounts-from-today,1,1,2022-12-06 11:10:53
9,help with bills,/government/news/government-joins-with-households-to-help-millions-reduce-their-energy-bills,2,1,2022-12-06 11:10:53
9,help with bills,/guidance/energy-bill-relief-scheme-help-for-businesses-and-other-non-domestic-customers,3,1,2022-12-06 11:10:53
9,help with bills,/winter-fuel-payment,4,3,2022-12-06 11:10:53
9,help with bills,/cost-living-help-local-council,5,3,2022-12-06 11:10:53
9,help with bills,/improve-energy-efficiency,6,2,2022-12-06 11:10:53
9,help with bills,/pay-self-assessment-tax-bill,7,1,2022-12-06 11:10:53
9,help with bills,/self-assessment-tax-returns,8,1,2022-12-06 11:10:53
9,help with bills,/universal-credit,9,1,2022-12-06 11:10:53
10,die without will,/search-will-probate,0,1,2022-12-06 11:11:37
10,die without will,/settled-status-eu-citizens-families,1,0,2022-12-06 11:11:37
10,die without will,/guidance/guidance-on-making-wills-using-video-conferencing,2,1,2022-12-06 11:11:37
10,die without will,/applying-for-probate,3,1,2022-12-06 11:11:37
10,die without will,/inheritance-tax,4,1,2022-12-06 11:11:37
10,die without will,/government/publications/make-a-lasting-power-of-attorney,5,1,2022-12-06 11:11:37
10,die without will,/child-maintenance-service,6,0,2022-12-06 11:11:37
10,die without will,/guidance/technical-guidance-for-official-receivers/56-deceased-insolvents,7,1,2022-12-06 11:11:37
10,die without will,/view-driving-licence,8,0,2022-12-06 11:11:37
10,die without will,/make-will,9,1,2022-12-06 11:11:37
11,contact government,/guidance/cost-of-living-payment,0,0,2022-12-06 11:12:12
11,contact government,/find-a-visa-application-centre,1,0,2022-12-06 11:12:12
11,contact government,/tell-hmrc-change-of-details,2,1,2022-12-06 11:12:12
11,contact government,/check-income-tax-current-year,3,0,2022-12-06 11:12:12
11,contact government,/lost-national-insurance-number,4,0,2022-12-06 11:12:12
11,contact government,/tax-overpayments-and-underpayments,5,0,2022-12-06 11:12:12
11,contact government,/biometric-residence-permits,6,0,2022-12-06 11:12:12
11,contact government,/life-in-the-uk-test,7,0,2022-12-06 11:12:12
