query,link,score_description,score
not,/check-mot-history,3 perfect,3
not,/check-mot-status,3 perfect,3
sing in,/sign-in,3 perfect,3
sing in,/log-in-register-hmrc-online-services,3 perfect,3
hrmc,/log-in-register-hmrc-online-services,3 perfect,3
hrmc,/contact-hmrc,3 perfect,3
hercules,/log-in-register-hmrc-online-services,3 perfect,3
pâté,/log-in-register-hmrc-online-services,3 perfect,3
pays,/log-in-register-hmrc-online-services,2 good,2
dependent,/uk-family-visa,3 perfect,3
ute,/find-utr-number,2 good,2
a rated sponsership,/uk-visa-sponsorship-employers,3 perfect,3
page,/log-in-register-hmrc-online-services,2 good,2
getaway,/log-in-register-hmrc-online-services,2 good,2
caters allowance,/carers-allowance,3 perfect,3
lap,/power-of-attorney,2 good,2
hmrs,/log-in-register-hmrc-online-services,3 perfect,3
pate,/log-in-register-hmrc-online-services,3 perfect,3
paying hrmc,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3
paying harv,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3
pay as you go,/log-in-register-hmrc-online-services,2 good,2
concil tax,/council-tax-bands,3 perfect,3
concil tax,/pay-council-tax,3 perfect,3
concil tax,/council-tax-arrears,2 good,2
paying hercules,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3
a rated sponcership,/uk-visa-sponsorship-employers,3 perfect,3
tax rebait,/claim-tax-refund,3 perfect,3
counsil tax,/council-tax-bands,3 perfect,3
counsil tax,/pay-council-tax,3 perfect,3
counsil tax,/council-tax-arrears,2 good,2
coucil tax,/council-tax-bands,3 perfect,3
coucil tax,/pay-council-tax,3 perfect,3
coucil tax,/council-tax-arrears,2 good,2
corperation tax,/corporation-tax,3 perfect,3
tax refound,/claim-tax-refund,3 perfect,3
visa sponsership,/uk-visa-sponsorship-employers,3 perfect,3
veichle tax,/vehicle-tax,3 perfect,3
tax cod,/tax-codes,3 perfect,3
dependents,/uk-family-visa,3 perfect,3
pay your cooperation tax bill,/pay-corporation-tax,3 perfect,3
pay your corperation tax bill,/pay-corporation-tax,3 perfect,3
tax cide,/tax-codes,3 perfect,3
rod tax,/vehicle-tax,3 perfect,3
pay your coporation tax bill,/pay-corporation-tax,3 perfect,3
ni contrabutions,/check-national-insurance-record,3 perfect,3
poi tax refund,/guidance/claim-a-refund-of-income-tax-deducted-from-savings-and-investments,3 perfect,3
pay your cooperation tax,/pay-corporation-tax,3 perfect,3
ask hrmc,/contact-hmrc,3 perfect,3
vehcile tax,/vehicle-tax,3 perfect,3
pay corperation tax,/pay-corporation-tax,3 perfect,3
vehichle tax,/vehicle-tax,3 perfect,3
coporation tax,/corporation-tax,3 perfect,3
tax releif,/income-tax-reliefs,3 perfect,3
coperation tax,/corporation-tax,3 perfect,3
pay cooperation tax,/pay-corporation-tax,3 perfect,3
paying hmrs,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3
corparation tax,/corporation-tax,3 perfect,3
dependent,/uk-family-visa,3 perfect,3
pay as your earn,/log-in-register-hmrc-online-services,3 perfect,3
marrage tax allowance,/marriage-allowance,3 perfect,3
personal tax accpunt,/personal-tax-account,3 perfect,3
sponsership visa,/uk-visa-sponsorship-employers,3 perfect,3
blue bage,/apply-blue-badge,3 perfect,3
vehicular tax,/vehicle-tax,3 perfect,3
tax rebat,/claim-tax-refund,3 perfect,3
annual tax summery,/guidance/annual-tax-summary,3 perfect,3
state pendion,/new-state-pension,3 perfect,3
petsonal tax account,/personal-tax-account,3 perfect,3
no,/national-insurance-rates-letters,3 perfect,3
pensio,/check-state-pension,3 perfect,3
chilcare,/sign-in-childcare-account,3 perfect,3
if,/sign-in-universal-credit,3 perfect,3
devorce,/divorce,3 perfect,3
apprenteships,/apply-apprenticeship,3 perfect,3
previsional,/apply-first-provisional-driving-licence,3 perfect,3
settlment,/settled-status-eu-citizens-families,3 perfect,3
shercode,/prove-right-to-work,3 perfect,3
shercode,/view-prove-immigration-status,3 perfect,3
appren,/apply-apprenticeship,3 perfect,3
pesion,/check-state-pension,3 perfect,3
aprentaships,/apply-apprenticeship,3 perfect,3
